,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,,,,
,10001333,10001350,10001352,10001351,10001361,10001332,10001356,10001334,10001335
Clothing Attributes,Dresses,Jackets/Blazers/Cardigans/Waistcoats,Shirts/Blouses/Polo Shirts/T-shirts,Sweaters/Pullovers,Upper Body Wear/Tops Variety Packs,Overalls/Bodysuits,Lower Body Wear/Bottoms Variety Packs,Skirts,Trousers/Shorts
Adhesive,,,,,,,,,
Adjustable,,,,,,,,,
Adjustable Strap,,,,,,,,,
Advertised Origin,E,E,E,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,,,,
Bra Band Type,,,,,,,,,
Bra Bust Type,,,,,,,,,
Bra Cup Coverage,,,,,,,,,
Bra Cup Type,,,,,,,,,
Bra Impact Level,,,,,,,,,
Bra Padding,,,,,,,,,
Bra Specialty Type,,,,,,,,,
Bra Type,,,,,,,,,
Bra Underwire,,,,,,,,,
Brand Name             ,E,E,E,E,E,E,E,E,E
Care Information,,,,,,,,,
Care Instructions Code,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,
Circularity Certifications,,,,,,,,,
Closure,E,E,E,E,E,E,E,E,E
Coat/Jacket Type,,E,,,,,,,
Collar Type,E,E,E,E,E,E,,,
Color Extended Description,,,,,,,,,
Conference,,,,,,,,,
Consumer Available Date,,,,,,,,,
Consumer Item Length,E,E,E,E,E,E,,E,
Consumer Item Weight,,,,,,,,,
Consumer Item Width,,,,,,,,,
Consumer Life Stage,E,E,E,E,E,E,E,E,E
Consumer Package Depth,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,
Consumer Package Height,,,,,,,,,
Consumer Package Width,,,,,,,,,
Consumer Quantity of Units in Consumer Package,,,,,E,,E,,
Control Level,,,,,,,,,
Convertible,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E
CPSIA  Flag,,,,,,,,,
Cuff Type,,,,,,,,,
Detachable Strap,,,,,,,,,
Discontinue Date,,,,,,,,,
Dress Type,E,,,,,,,,
Fabric or Material Code,E,E,E,E,E,E,E,E,E
Fabric or Material Description ,,,,,,,,,
Faux Fur,,,,,,,,,
Features – Benefits – Marketing Message,E,E,E,E,E,E,E,E,E
Fiber,E,E,E,E,E,E,E,E,E
Finish,,,,,,,,,
First Avail Ship Date,,,,,,,,,
First Order Date,,,,,,,,,
Full Product Name,,,,,,,,,
Fur Animal Name,E,E,E,E,E,E,E,E,E
Fur Country of Origin,E,E,E,E,E,E,E,E,E
Fur Treatment,E,E,E,E,E,E,E,E,E
Gauge,E,E,,E,,,,,
Gender,E,E,E,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E
Holiday/Event,,,,,,,,,
Hooded,,E,E,E,,,,,
Inner Pack Quantity,,,,,,,,,
Knit Type,,,,,,,,,
Laser Cut,,,,,,,,,
Lead Time,,,,,,,,,
League,,,,,,,,,
Leg Type,,,,,,E,E,,E
Length Description,E,E,E,E,E,E,E,E,E
Lined,E,E,E,E,,,,E,E
Lining Material,E,E,E,E,,,,E,E
Marked Retail Price,,,,,,,,,
Material Country of Origin,,,,,,,,,
Maternity,,,,,,,,,
Min Order Quantity,,,,,,,,,
Occasion,,,,,,,,,
Officially Licensed,,,,,,,,,
Order Quantity Multiple,,,,,,,,,
Pant Inseam Length,,,,,,,E,,E
Pants/Shorts Type,,,,,,,E,,E
