,10000324,10006275,10000327,10000806,10000332,10000808,10000719,10000342,10005727,10000810,10000721,10000356,10000374,10000484,10000717
Skin Care,After Shave Care,After-Sun Moisturisers,Anti-spot Aids (Non Powered),Anti-spot Aids (Powered),Cleansers/Cosmetics Removers (Non Powered),Cleansers/Cosmetics Removers (Powered),Cooling Face/Body Misters,Exfoliants/Masks,Lip Balms,Skin Care - Replacement Parts,Skin Care Variety Packs,Skin Care/Moisturising Products,Skin Drying Powder,Toners/Astringents,Skin Products Variety Packs
Advertised Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Aerosol Product,E,E,E,,E,,E,E,E,,E,E,E,E,E
Beauty Area of Use,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Treatment Specialty,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Type,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,,,,,,,,,,
Brand Name             ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,,,,,,,
Circularity Certifications,,,,,,,,,,,,,,,
Color Extended Description,,,,,,,,,,,,,,,
Consumer Available Date,,,,,,,,,,,,,,,
Consumer Item Weight,,,,,,,,,,,,,,,
Consumer Life Stage,,,,,,,,,,,,,,,
Consumer Package Depth,,,,,,,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,,,,,,,
Consumer Package Height,,,,,,,,,,,,,,,
Consumer Package Width,,,,,,,,,,,,,,,
Consumer Product Capacity or Volume,E,E,E,,E,,E,E,E,,E,E,E,E,E
Consumer Quantity of Units in Consumer Package,E,E,E,,E,,E,E,E,,E,E,E,E,E
Corporate/Philanthropic Certifications,,,,,,,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
CPSIA  Flag,,,,,,,,,,,,,,,
Discontinue Date,,,,,,,,,,,,,,,
Does Not Contain,E,E,E,,E,,E,E,E,,E,E,E,E,E
Features – Benefits – Marketing Message,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
First Avail Ship Date,,,,,,,,,,,,,,,
First Order Date,,,,,,,,,,,,,,,
Formulation,E,E,E,,E,,E,E,E,,E,E,E,E,E
Full Product Name,,,,,,,,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Hazardous Material Class Code,,,,,,,,,,,,,,,
Hazardous Material Description,,,,,,,,,,,,,,,
Holiday/Event,,,,,,,,,,,,,,,
Hypoallergenic,E,E,E,,E,,E,E,E,,E,E,E,E,E
Ingredients,,,,,,,,,,,,,,,
Inner Pack Quantity,,,,,,,,,,,,,,,
Key Active Ingredient,E,E,E,,E,,E,E,E,,E,E,E,E,E
Lead Time,,,,,,,,,,,,,,,
Marked Retail Price,,,,,,,,,,,,,,,
Material Country of Origin,,,,,,,,,,,,,,,
Min Order Quantity,,,,,,,,,,,,,,,
Occasion,,,,,,,,,,,,,,,
Oil Free,E,E,E,,E,,E,E,E,,E,E,E,E,E
Order Quantity Multiple,,,,,,,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Refillable,,,,,,,,,,,,,,,
Re-orderable ,,,,,,,,,,,,,,,
Responsible Manufacturing,,,,,,,,,,,,,,,
Scent Type,,,,,,,,,,,,,,,
Selling Channel,,,,,,,,,,,,,,,
Shippable Package/Carton,,,,,,,,,,,,,,,
Skin Type,E,E,E,,E,,E,E,E,,E,E,E,E,E
Social Certifications,,,,,,,,,,,,,,,
Special Handling Code,,,,,,,,,,,,,,,
Special Item Code,,,,,,,,,,,,,,,
SPF Rating,,,,,,,,,E,,E,E,,,E
Supplemental Circularity Certifications,,,,,,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,,,,,,
Supply Type,,,,,,,,,,,,,,,
Sustainable Materials,,,,,,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,,,,,,
Vendor Collection Name,,,,,,,,,,,,,,,
Water Repellent,,,,,,,,,,,,,,,
Wrinkle Resistant,,,,,,,,,,,,,,,
TOTALS,=COUNTA(B3:B73),=COUNTA(C3:C73),=COUNTA(D3:D73),=COUNTA(E3:E73),=COUNTA(F3:F73),=COUNTA(G3:G73),=COUNTA(H3:H73),=COUNTA(I3:I73),=COUNTA(J3:J73),=COUNTA(K3:K73),=COUNTA(L3:L73),=COUNTA(M3:M73),=COUNTA(N3:N73),=COUNTA(O3:O73),=COUNTA(P3:P73)
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
