,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,,,,,,,,,
,10001328,10001329,10001327,10001330,10001326,,,,,,,,,
Fashion Accessories Attributes,Handwear/gloves,Headwear,Pocket Square/Handkerchiefs,Scarf/Tie/Neckwear,Belts/Braces/Cummerbunds,,,,,,,,,
Adhesive,,,,,,,,,,,,,,
Adjustable,,E,,,E,,,,,,,,,
Adjustable Strap,,,,,,,,,,,,,,
Advertised Origin,E,E,E,E,E,,,,,,,,,
Bag Type,,,,,,,,,,,,,,
Belt Type,,,,,E,,,,,,,,,
Bill Logo Application,,,,,,,,,,,,,,
Bill Type,,,,,,,,,,,,,,
Boxed for Gift Giving,,,,,,,,,,,,,,
Brand Name             ,E,E,E,E,E,,,,,,,,,
Care Information,,,,,,,,,,,,,,
Care Instructions Code,E,E,E,E,E,,,,,,,,,
Chemical Certifications,,,,,,,,,,,,,,
Circularity Certifications,,,,,,,,,,,,,,
Closure,,,,,E,,,,,,,,,
Color Extended Description,,,,,,,,,,,,,,
Conference,,,,,,,,,,,,,,
Consumer Available Date,,,,,,,,,,,,,,
Consumer Item Depth,,,,,,,,,,,,,,
Consumer Item Height,,,,,,,,,,,,,,
Consumer Item Length,,,E,E,E,,,,,,,,,
Consumer Item Weight,,,,,,,,,,,,,,
Consumer Item Width,,,E,E,E,,,,,,,,,
Consumer Life Stage,,,,,,,,,,,,,,
Consumer Package Depth,,,,,,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,,,,,,
Consumer Package Height,,,,,,,,,,,,,,
Consumer Package Width,,,,,,,,,,,,,,
Consumer Quantity of Units in Consumer Package,,,,,,,,,,,,,,
Convertible,E,,,,,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,,,,,,
Country of Origin,E,E,E,E,E,,,,,,,,,
CPSIA  Flag,,,,,,,,,,,,,,
Crown,,,,,,,,,,,,,,
Detachable Strap,,,,,,,,,,,,,,
Discontinue Date,,,,,,,,,,,,,,
Eyewear Type,,,,,,,,,,,,,,
Fabric or Material,E,E,E,E,E,,,,,,,,,
Fabric or Material Description,,,,,,,,,,,,,,
Faux Fur,,,,,,,,,,,,,,
Features – Benefits – Marketing Message,E,E,E,E,E,,,,,,,,,
Fiber,E,E,E,E,E,,,,,,,,,
First Avail Ship Date,,,,,,,,,,,,,,
First Order Date,,,,,,,,,,,,,,
Fit,,,,,,,,,,,,,,
Full Product Name,,,,,,,,,,,,,,
Fur Animal Name,E,E,E,E,E,,,,,,,,,
Fur Country of Origin,E,E,E,E,E,,,,,,,,,
Fur Treatment,E,E,E,E,E,,,,,,,,,
Gauge,,,,,,,,,,,,,,
Gender,E,E,E,E,E,,,,,,,,,
Global Product Classification (GPC),E,E,E,E,E,,,,,,,,,
