,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,,,,,,,,,
,10001077,10001076,10001070,10001071,10001078,10001079,10001081,10001082,10001080,10000400,,,,
Footwear Attributes,Shoes - General Purpose,Boots - General Purpose,Athletic Footwear - General Purpose,Athletic Footwear - Specialist,Indoor Footwear - Fully Enclosed Uppers,Indoor Footwear - Partially Enclosed Uppers,Safety/Protective Occupational Overshoes,Safety/Protective Occupational Shoes,Safety/Protective/Occupational Boots,Shoe Cleaning/Care Preparations,Shoe Colour/Dyes,Footwear Inserts,Footwear Accessories Variety Packs,Footwear - Replacement Parts/Accessories
Adjustable Strap,,,,,,,,,,,,,,
Advertised Origin,E,E,E,E,E,E,E,E,E,E,R,R,R,R
Boot Leg Circumference,,E,,,,,,,E,,,,,
Boot Shaft Height,,E,,,,,,,E,,,,,
Boot Shaft Type,,E,,,,,,,E,,,,,
Boxed For Gift Giving,,,,,,,,,,,,,,
Brand Name,E,E,E,E,E,E,E,E,E,E,R,R,R,R
Care Information,,,,,,,,,,,,,,
Care Instructions Code,E,E,E,E,E,E,E,E,E,E,R,R,R,R
Chemical Certifications,,,,,,,,,,,,,,
Circularity Certifications,,,,,,,,,,,,,,
Closure,E,E,E,E,E,E,E,E,E,,n/a,n/a,n/a,n/a
Color Extended Description,,,,,,,,,,,,,,
Conference,,,,,,,,,,,,,,
Consumer Available Date,,,,,,,,,,,,,,
Consumer Item Weight,,,,,,,,,,,,,,
Consumer Life Stage,,,,,,,,,,,,,,
Consumer Package Depth,,,,,,,,,,,,,,
Consumer Package Height,,,,,,,,,,,,,,
Consumer Package Width,,,,,,,,,,,,,,
Consumer Quantity of Units in Consumer Package,,,,,,,,,,,,,,
Convertible,,,,,,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E,E,,,,
CPSIA Flag,,,,,,,,,,,,,,
Discontinue Date,,,,,,,,,,,,,,
Fabric or Material Code,E,E,E,E,E,E,E,E,E,,n/a,n/a,n/a,n/a
Fabric or Material Description,,,,,,,,,,,,,,
Faux Fur,E,E,E,,,,,,,,,,,
Features - Benefits Marketing Message,E,E,E,E,E,E,E,E,E,E,,,,
Fiber,,,,,,,,,,,,,,
Finish,,,,,,,,,,,,,,
First Avail Ship Date,,,,,,,,,,,,,,
First Order Date,,,,,,,,,,,,,,
Full Product Name,,,,,,,,,,,,,,
Fur Animal Name,E,E,E,,E,E,,,,,,,,
Fur Country of Origin,E,E,E,,E,E,,,,,,,,
Fur Treatment,E,E,E,,E,E,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E,,R,R,R,R
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E,E,R,R,R,R
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E,E,R,R,R,R
Heel Height,E,E,E,E,E,E,E,E,E,,n/a,n/a,n/a,n/a
Heel Height Range,,,,,,,,,,,,,,
Heel Material,,,,,,,,,,,,,,
Heel Type,,,,,,,,,,,,,,
Holiday/Event,,,,,,,,,,,,,,
Inner Pack Quantity,,,,,,,,,,,,,,
Insulated,,,,,,,,,,,,,,
Laser Cut,,,,,,,,,,,,,,
Lead Time,,,,,,,,,,,,,,
League,,,,,,,,,,,,,,
Leather Animal Name,,,,,,,,,,,,,,
Lined,,,,,,,,,,,,,,
Lining Material,E,E,E,E,E,E,E,E,E,,n/a,R,n/a,n/a
Marked Retail Price,,,,,,,,,,,,,,
Material Country of Origin,,,,,,,,,,,,,,
Min Order Quantity,,,,,,,,,,,,,,
Occasion,,,,,,,,,,,,,,
Officially Licensed,,,,,,,,,,,,,,
Open/Closed Toe,E,E,,,E,E,,,,,,,,
Order Quantity Multiple,,,,,,,,,,,,,,
Platform Height,,,,,,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E,E,R,R,R,R
Raw Materials Certifications,,,,,,,,,,,,,,
Re-Orderable,,,,,,,,,,,,,,
Responsible Manufacturing,,,,,,,,,,,,,,
Selling Channel,,,,,,,,,,,,,,
Shipping Package/Carton,,,,,,,,,,,,,,
Shoe Style,,,,,,,,,,,,,,
Shoe Type,E,E,E,E,E,E,E,E,E,,R,R,R,R
Social Certifications,,,,,,,,,,,R,R,R,R
Sole Type,E,E,E,E,E,E,E,E,E,,,,,
Special Embellishment,,,,,,,,,,,,,,
Special Item Code,,,,,,,,,,,,,,
Sport,,,E,E,,,,,,,,,,
Strap Placement,,,,,,,,,,,,,,
Stretch,,,,,,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,,,,,
Supply type,,,,,,,,,,,,,,
Sustainable Materials,,,,,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,,,,,
Team Name,,,,,,,,,,,,,,
Toe Shape,E,E,,,E,E,E,E,E,,,,,
Toe Style,E,E,,,E,E,E,E,E,,,,,
Vendor Collection Name,,,,,,,,,,,,,,
Water Repellant,,,,,,,,,,,,,,
Wrinkle Resistant,,,,,,,,,,,,,,
Total Essential Attributes,=COUNTA(B4:B96),=COUNTA(C4:C96),=COUNTA(D4:D96),=COUNTA(E4:E96),=COUNTA(F4:F96),=COUNTA(G4:G96),=COUNTA(H4:H96),=COUNTA(I4:I96),=COUNTA(J4:J96),=COUNTA(K4:K96),,,,
,,,,,,,,,,,,,,
