,10000379,10000564,10000828,10008023,10000345,10000346,10000343,10000348,10000368,10000381,10000678,10000833,10000834,10000677,10000829
Hair Care,Hair - Accessories,Hair - Aids (Non Powered),Hair - Aids (Powered),Hair - Brushes and Combs,Hair - Colour,Hair - Conditioner/Treatment,Hair - False,Hair - Perming,Hair - Shampoo,Hair - Styling (Non Powered),Hair - Styling (Powered),Hair Care Products - Replacement Parts,Hair Care Products Other,Hair Care Products Variety Packs,Hair Curlers/Rollers
Advertised Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Aerosol Product,,,,,,,,,,E,,,E,,
Beauty Area of Use,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Treatment Specialty,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Beauty Type,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,,,,,,,,,,
Brand Name             ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,,,,,,,
Circularity Certifications,,,,,,,,,,,,,,,
Color Extended Description,,,,,,,,,,,,,,,
Consumer Available Date,,,,,,,,,,,,,,,
Consumer Item Weight,,,,,,,,,,,,,,,
Consumer Life Stage,,,,,,,,,,,,,,,
Consumer Package Depth,,,,,,,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,,,,,,,
Consumer Package Height,,,,,,,,,,,,,,,
Consumer Package Width,,,,,,,,,,,,,,,
Consumer Product Capacity or Volume,,,,,,E,,,E,E,,,,,
Consumer Quantity of Units in Consumer Package,,,,,,,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
CPSIA  Flag,,,,,,,,,,,,,,,
Discontinue Date,,,,,,,,,,,,,,,
Does Not Contain,,,,,E,E,,E,E,E,,,E,,
Features – Benefits – Marketing Message,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
First Avail Ship Date,,,,,,,,,,,,,,,
First Order Date,,,,,,,,,,,,,,,
Formulation,,,,,E,E,,,E,E,,,,,
Full Product Name,,,,,,,,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Hazardous Material Class Code,,,,,,,,,,,,,,,
Hazardous Material Description,,,,,,,,,,,,,,,
Holiday/Event,,,,,,,,,,,,,,,
Hypoallergenic,,,,,,,,,,,,,,,
Ingredients,,,,,,,,,,,,,,,
Inner Pack Quantity,,,,,,,,,,,,,,,
Key Active Ingredient,,,,,,,,,,,,,,,
Lead Time,,,,,,,,,,,,,,,
Marked Retail Price,,,,,,,,,,,,,,,
Material Country of Origin,,,,,,,,,,,,,,,
Min Order Quantity,,,,,,,,,,,,,,,
Occasion,,,,,,,,,,,,,,,
Oil Free,,,,,,,,,,,,,,,
Order Quantity Multiple,,,,,,,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Refillable,,,,,,,,,,,,,,,
Re-orderable ,,,,,,,,,,,,,,,
Responsible Manufacturing,,,,,,,,,,,,,,,
Scent Type,,,,,,,,,,,,,,,
Selling Channel,,,,,,,,,,,,,,,
Shippable Package/Carton,,,,,,,,,,,,,,,
Skin Type,,,,,,,,,,,,,,,
Social Certifications,,,,,,,,,,,,,,,
Special Handling Code,,,,,,,,,,,,,,,
Special Item Code,,,,,,,,,,,,,,,
SPF Rating,,,,,,,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,,,,,,
Supply Type,,,,,,,,,,,,,,,
Sustainable Materials,,,,,,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,,,,,,
Vendor Collection Name,,,,,,,,,,,,,,,
Water Repellent,,,,,,,,,,,,,,,
Wrinkle Resistant,,,,,,,,,,,,,,,
TOTALS,=COUNTA(B3:B73),=COUNTA(C3:C73),=COUNTA(D3:D73),=COUNTA(E3:E73),=COUNTA(F3:F73),=COUNTA(G3:G73),=COUNTA(H3:H73),=COUNTA(I3:I73),=COUNTA(J3:J73),=COUNTA(K3:K73),=COUNTA(L3:L73),=COUNTA(M3:M73),=COUNTA(N3:N73),=COUNTA(O3:O73),=COUNTA(P3:P73)
