,,,,
,10001103,10001096,10005756,
Fashion Accessories Attributes,Wallets/Purses/Travel Document Holders,Personal Bags,Key Rings,
Adhesive,,,,
Adjustable,,,,
Adjustable Strap,,E,,
Advertised Origin,E,E,E,
Bag Type,E,E,,
Bill Logo Application,,,,
Bill Type,,,,
Boxed for Gift Giving,,,,
Brand Name             ,E,E,E,
Care Information,,,,
Care Instructions Code,E,E,E,
Chemical Certifications,,,,
Circularity Certifications,,,,
Closure,E,E,,
Color Extended Description,,,,
Conference,,,,
Consumer Available Date,,,,
Consumer Item Depth,E,E,,
Consumer Item Height,,,,
Consumer Item Length,E,E,,
Consumer Item Weight,,,,
Consumer Item Width,E,E,,
Consumer Life Stage,,,,
Consumer Package Depth,,,,
Consumer Package Gross Weight,,,,
Consumer Package Height,,,,
Consumer Package Width,,,,
Consumer Quantity of Units in Consumer Package,,,,
Convertible,,,,
Corporate/Philanthropic Certifications,,,,
Country of Origin,E,E,E,
CPSIA  Flag,,,,
Crown,,,,
Detachable Strap,E,E,,
Discontinue Date,,,,
Eyewear Type,,,,
Fabric or Material,E,E,E,
Fabric or Material Description,,,,
Faux Fur,,,,
Features – Benefits – Marketing Message,E,E,E,
Fiber,,,,
First Avail Ship Date,,,,
First Order Date,,,,
Fit,,,,
Full Product Name,,,,
Fur Animal Name,E,E,E,
Fur Country of Origin,E,E,E,
Fur Treatment,E,E,E,
Gauge,,,,
Gender,E,E,E,
Global Product Classification (GPC),E,E,E,
Handbag Shoulder Drop,,E,,
Handle Strap type,E,E,,
Harmonized Tariff Schedule Code,E,E,E,
Hat Type,,,,
Holiday/Event,,,,
Hosiery/Sock Type,,,,
Inner Pack Quantity,,,,
Knit Type,,,,
Laser Cut,,,,
Lead Time,,,,
League,,,,
Leather Animal Name,,,,
Lined,,,,
Lining Material,,E,,
Marked Retail Price,,,,
Material Country of Origin,,,,
Metal Feet,,E,,
Min Order Quantity,,,,
Neckwear Type,,,,
Occasion,,,,
Officially Licensed,,,,
Order Quantity Multiple,,,,
Padded,,,,
Player Name,,,,
Pocket Details,E,E,,
Primary Detail Application,,,,
Primary Detail Logo ,,,,
Primary Detail Placement,,,,
Primary Detail Size,,,,
Primary Detail Type,,,,
Primary Motif Theme,,,,
Prop 65,E,E,E,
Raw Materials Certifications,,,,
Re-orderable ,,,,
Responsbile Manufacturing,,,,
Reversible,,,,
Seams,,,,
Secondary Detail Application,,,,
Secondary Detail Logo,,,,
Secondary Detail Placement,,,,
Secondary Detail Size,,,,
Secondary Detail Type,,,,
Secondary Motif Theme,,,,
Selling Channel,,,,
Shippable Package/Carton,,,,
Special Item Code,,,,
Sport,,,,
Steamable,,,,
Stretch,,,,
Supplemental Circularity Certifications,,,,
Supplemental Corporate/Philanthropic,,,,
Supplemental Packaging Certifications,,,,
Supplemental Raw Material Certifications,,,,
Supplemental Traceability Programs ,,,,
Supplier Suggested Retail,,,,
Supplier Wholesale Price,,,,
Supply Type,,,,
Sustainable Materials,,,,
Sustainable Packaging,,,,
Tag,,,,
Team Name,,,,
Third Detail Application,,,,
Third Detail Logo,,,,
Third Detail Placement,,,,
Third Detail Size,,,,
Third Detail Type,,,,
Third Motif Theme,,,,
Vendor Collection Name,,,,
Water Repellent,,,,
Wrinkle Resistant,,,,
Total Essential Attributes,=COUNTA(B4:B124),=COUNTA(C4:C124),=COUNTA(D4:D124),
