,10000360,10000768,10000671,10000385,10000767,10000358,10000780,10000333,10000359,10000361
Nail Cosmetics -  Care,Cosmetics - Nails,Nail Cosmetic/Care Products - Replacement Parts,Nail Cosmetic/Care Products Variety Packs,Nails - Accessories (Non Powered),Nails - Accessories (Powered),Nails - Aids (Non Powered),Nails - Aids (Powered),Nails - Cleansers/Cosmetic Removers,Nails - False,Nails - Treatments
Advertised Origin,E,E,E,E,E,E,E,E,E,E
Aerosol Product,,,,,,,,,,
Beauty Area of Use,E,E,E,E,E,E,E,E,E,E
Beauty Treatment Specialty,,,,,,,,,,
Beauty Type,E,E,E,E,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,,,,,
Brand Name             ,E,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,,
Circularity Certifications,,,,,,,,,,
Color Extended Description,,,,,,,,,,
Consumer Available Date,,,,,,,,,,
Consumer Item Weight,,,,,,,,,,
Consumer Life Stage,,,,,,,,,,
Consumer Package Depth,,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,,
Consumer Package Height,,,,,,,,,,
Consumer Package Width,,,,,,,,,,
Consumer Product Capacity or Volume,E,,,,,,,E,,E
Consumer Quantity of Units in Consumer Package,,,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E,E
CPSIA  Flag,,,,,,,,,,
Discontinue Date,,,,,,,,,,
Does Not Contain,,,,,,,,,,
Features – Benefits – Marketing Message,E,E,E,E,E,E,E,E,E,E
First Avail Ship Date,,,,,,,,,,
First Order Date,,,,,,,,,,
Formulation,E,,,,,,,E,,
Full Product Name,,,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E,E
Hazardous Material Class Code,,,,,,,,,,
Hazardous Material Description,,,,,,,,,,
Holiday/Event,,,,,,,,,,
Hypoallergenic,,,,,,,,,,
Ingredients,,,,,,,,,,
Inner Pack Quantity,,,,,,,,,,
Key Active Ingredient,,,,,,,,,,
Lead Time,,,,,,,,,,
Marked Retail Price,,,,,,,,,,
Material Country of Origin,,,,,,,,,,
Min Order Quantity,,,,,,,,,,
Occasion,,,,,,,,,,
Oil Free,,,,,,,,,,
Order Quantity Multiple,,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E,E
Refillable,,,,,,,,,,
Re-orderable ,,,,,,,,,,
Responsible Manufacturing,,,,,,,,,,
Scent Type,,,,,,,,,,
Selling Channel,,,,,,,,,,
Shippable Package/Carton,,,,,,,,,,
Skin Type,,,,,,,,,,
Social Certifications,,,,,,,,,,
Special Handling Code,,,,,,,,,,
Special Item Code,,,,,,,,,,
SPF Rating,,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,
Supply Type,,,,,,,,,,
Sustainable Materials,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,
Vendor Collection Name,,,,,,,,,,
Water Repellent,,,,,,,,,,
Wrinkle Resistant,,,,,,,,,,
TOTALS,=COUNTA(B3:B73),=COUNTA(C3:C73),=COUNTA(D3:D73),=COUNTA(E3:E73),=COUNTA(F3:F73),=COUNTA(G3:G73),=COUNTA(H3:H73),=COUNTA(I3:I73),=COUNTA(J3:J73),=COUNTA(K3:K73)
