,GLOBAL PRODUCT CLASSIFICATION (GPC) CODES,,,,,,,,
,10001345,10001346,10001347,10002425,10002424,10001348,10002426,10001349,10001360
Underwear Attributes,Bras/Basques/Corsets,Full Body Underwear,Pants/Briefs/Undershorts,Pantyhose/Stockings,Petticoats/Underskirts/Slips,Socks,Suspenders/Garters,Undershirts/Chemises/Camisoles,Underwear Variety Packs
Adhesive,,,,,,,,,
Adjustable,,,,,,,,,
Adjustable Strap,E,,,,E,,E,E,
Advertised Origin,E,E,E,E,E,E,E,E,E
Boxed for Gift Giving,,,,,,,,,
Bra Band Type,E,,,,,,,,
Bra Bust Type,E,,,,,,,,
Bra Cup Coverage,E,,,,,,,,
Bra Cup Type,E,,,,,,,,
Bra Impact Level,E,,,,,,,,
Bra Padding,E,,,,,,,,
Bra Specialty Type,E,,,,,,,,
Bra Type,E,,,,,,,,
Bra Underwire,E,,,,,,,,
Brand Name             ,E,E,E,E,E,E,E,E,E
Care Information,,,,,,,,,
Care Instructions Code,E,E,E,E,E,E,E,E,E
Chemical Certifications,,,,,,,,,
Circularity Certifications,,,,,,,,,
Closure,E,,,,,,,,E
Coat/Jacket Type,,,,,,,,,
Collar Type,,,,,,,,E,
Color Extended Description,,,,,,,,,
Conference,,,,,,,,,
Consumer Available Date,,,,,,,,,
Consumer Item Length,,,,,E,,,,
Consumer Item Weight,,,,,,,,,
Consumer Item Width,,,,,,,,,
Consumer Life Stage,E,E,E,E,E,E,E,E,E
Consumer Package Depth,,,,,,,,,
Consumer Package Gross Weight,,,,,,,,,
Consumer Package Height,,,,,,,,,
Consumer Package Width,,,,,,,,,
Consumer Quantity of Units in Consumer Package,E,E,E,E,,E,,E,E
Control Level,,E,E,E,E,E,,E,E
Convertible,E,,,,,,,,
Corporate/Philanthropic Certifications,,,,,,,,,
Country of Origin,E,E,E,E,E,E,E,E,E
CPSIA  Flag,,,,,,,,,
Cuff Type,,,,,,,,,
Detachable Strap,E,,,,,,,,
Discontinue Date,,,,,,,,,
Dress Type,,,,,,,,,
Fabric or Material Code,E,E,E,E,E,E,E,E,E
Fabric or Material Description,,,,,,,,,
Faux Fur,,,,,,,,,
Features – Benefits – Marketing Message,E,E,E,E,E,E,E,E,E
Fiber,,,,,,,,,
Finish,,,,,,,,,
First Avail Ship Date,,,,,,,,,
First Order Date,,,,,,,,,
Full Product Name,,,,,,,,,
Fur Animal Name,E,E,E,E,E,E,E,E,E
Fur Country of Origin,E,E,E,E,E,E,E,E,E
Fur Treatment,E,E,E,E,E,E,E,E,E
Gauge,,,,,,,,,
Gender,E,E,E,E,E,E,E,E,E
Global Product Classification (GPC),E,E,E,E,E,E,E,E,E
Harmonized Tariff Schedule Code,E,E,E,E,E,E,E,E,E
Holiday/Event,,,,,,,,,
Hooded,,,,,,,,,
Hosiery/Sock Type,,,,E,,E,,,
Inner Pack Quantity,,,,,,,,,
Knit Type,,,,,,,,,
Laser Cut,E,,E,,,,,,
Lead Time,,,,,,,,,
League,,,,,,,,,
Leg Type,,,,,,,,,
Length Description,,,,,,,,,
Lined,E,,,,,,,,
Lining Material,,,,,,,,,
Marked Retail Price,,,,,,,,,
Material Country of Origin,,,,,,,,,
Maternity,,,,,,,,,
Min Order Quantity,,,,,,,,,
Occasion,,,,,,,,,
Officially Licensed,,,,,,,,,
Order Quantity Multiple,,,,,,,,,
Pant Inseam Length,,,,,,,,,
Pants/Shorts Type,,,,,,,,,
Panty Back Coverage,,,E,,,,,,
Panty Type,,,E,,,,,,
Player Name,,,,,,,,,
